model,n_games,n_bets,clv_mean_bps,clv_median_bps,clv_std_bps,win_rate,avg_return,total_pnl,roi_pct,sharpe,sortino,mar
glm,5529,3826,14.930163080815847,8.071064713029985,820.6313396159942,0.5101934134866701,-0.07451123889179298,-285.0799999999999,-7.451123889179298,-1.2228513903756368,0.0,-0.5893491293044363
ens_mean_glm_xgb,5529,3963,8.730634523033078,-9.060265492606966,867.7190174710254,0.5074438556649004,-0.08003785011355032,-317.1899999999999,-8.003785011355031,-1.3134306267121316,0.0,-0.42902557770309363
xgb,5529,4419,2.5311059652503265,2.4687009169432894,1208.4486700578784,0.5005657388549446,-0.09386286490156144,-414.78000000000003,-9.386286490156143,-1.5401510949820572,0.0,-0.9090909090909091
ens_stack_glm_xgb,5529,1139,4.2981291530998496,20.876444344728462,456.45457109524494,0.5004389815627743,-0.09411764705882353,-107.2,-9.411764705882353,-1.5438279095660647,0.0,-0.42902557770309363
ens_stack_glm_state,5529,1100,3.550808112234206,27.41984522649732,453.88410251708314,0.5,-0.095,-104.5,-9.5,-1.5582764209092195,0.0,-0.8396305625524769
state,5529,5238,-27.422857963266853,-14.286590376109132,2587.733621105342,0.4996181748759068,-0.09576746849942724,-501.62999999999994,-9.576746849942724,-1.571430088102677,0.0,-0.8396305625524769
ens_mean_glm_state,5529,4881,-6.246347441225501,-15.26893502937332,1361.7635649798378,0.49743904937512806,-0.10014751075599262,-488.82,-10.014751075599262,-1.643310965257537,0.0,-0.8396305625524769
ens_mean_xgb_state,5529,4896,-12.445875999008258,-18.751483758041587,1454.014248989161,0.4973447712418301,-0.10033700980392157,-491.25,-10.033700980392158,-1.6464225732786648,0.0,-0.8396305625524769
ens_mean_glm_xgb_state,5529,4623,-3.3205296390669155,10.002945420714004,1057.0307295165394,0.49621457927752544,-0.10260869565217391,-474.36,-10.26086956521739,-1.683712855314449,0.0,-0.8396305625524769
ens_stack_glm_xgb_state,5529,1242,2.8927736141940095,15.47245932203678,423.3021550042891,0.49516908212560384,-0.10471014492753625,-130.05,-10.471014492753625,-1.7177205669125328,0.0,-0.8396305625524769
ens_stack_xgb_state,5529,830,1.0214978446420546,71.90231141624537,443.2348745753383,0.4879518072289157,-0.1192168674698795,-98.94999999999999,-11.92168674698795,-1.9557819585839316,0.0,-0.8396305625524769
