feature,cover,gain,weight,composite_score
spread_close,617.7568359375,41.68293380737305,94.0,1.0
venue_home_win_rate,573.998779296875,10.360356330871582,66.0,0.52074729760944
home_success_rate_season,524.6619873046875,6.467705726623535,41.0,0.3782936018291242
success_rate_l3_diff,527.89990234375,6.177380561828613,40.0,0.37266785152533155
home_rush_epa_l5,475.37969970703125,6.018106937408447,40.0,0.3537537942316741
away_success_rate_l5,477.33172607421875,7.1894965171813965,34.0,0.3492880196798104
away_epa_home_avg,387.47857666015625,8.088865280151367,39.0,0.3469435445951919
home_pass_epa_l5,495.3162841796875,5.742197036743164,36.0,0.34413271882919916
pass_epa_l5_diff,550.1669921875,5.76285982131958,29.0,0.33979817537521984
epa_per_play_l3_diff,479.4588317871094,5.69132137298584,33.0,0.3288140993944141
home_points_l3,511.76947021484375,5.282762050628662,30.0,0.3247994659976854
home_points_against_l5,592.9246215820312,5.669470310211182,19.0,0.32060591223818824
away_points_against_season,484.6943664550781,7.062341213226318,23.0,0.3150400379513837
epa_per_play_l10_diff,473.4549560546875,7.057886600494385,23.0,0.31134782206692024
away_epa_away_avg,485.0334167480469,6.428764343261719,24.0,0.3107413401868665
home_points_against_l3,451.06927490234375,6.50965690612793,27.0,0.3102901819598529
away_rush_epa_l5,561.1774291992188,4.822065353393555,22.0,0.3097372728751821
total_close,490.62860107421875,6.0822858810424805,23.0,0.3052051838896483
home_epa_away_avg,402.923583984375,6.975074768066406,28.0,0.30347724320541214
away_losses,569.5501708984375,6.166943550109863,13.0,0.29985680048987373
points_l3_diff,421.3372497558594,6.2740654945373535,27.0,0.2978383862521725
points_l10_diff,477.4288330078125,6.032289505004883,22.0,0.29714052108110917
points_l5_diff,534.9002685546875,6.045313835144043,16.0,0.2967543070422246
home_points_against_l10,510.7243347167969,6.0169878005981445,18.0,0.294970499509372
away_points_l3,456.4648132324219,5.294514179229736,26.0,0.29426948674829045
epa_per_play_l5_diff,444.6073303222656,7.759879112243652,16.0,0.28808854316359894
home_epa_home_avg,416.3368225097656,5.8316168785095215,25.0,0.28452919793963294
away_success_rate_season,457.1398010253906,6.3643035888671875,18.0,0.2817885634665506
away_epa_per_play_l5,429.09234619140625,5.946581840515137,20.0,0.27408041835461927
home_win_pct,438.49932861328125,6.676002025604248,16.0,0.2731096163785236
away_wins,575.6136474609375,5.018725395202637,8.0,0.27208917560695256
away_success_rate_l3,411.56512451171875,5.97227668762207,20.0,0.268714163431219
away_points_against_l5,495.66973876953125,5.551562786102295,13.0,0.2685561768871717
home_points_l10,421.9374694824219,7.860133647918701,11.0,0.2659942689028461
away_win_pct,507.96588134765625,6.03662109375,9.0,0.2655895480816541
win_pct_diff,451.67041015625,6.623907566070557,12.0,0.26398293313530596
home_points_against_season,447.6380920410156,5.900405406951904,14.0,0.26038180320649595
away_pass_epa_l5,304.2399597167969,6.657273769378662,24.0,0.2549501431278399
success_rate_l5_diff,446.34503173828125,6.461844444274902,10.0,0.253931854092017
home_epa_per_play_l5,414.158935546875,6.789270401000977,12.0,0.25382209849164716
venue_avg_margin,336.43701171875,9.518250465393066,8.0,0.24862849482808497
away_points_against_l3,388.2843322753906,6.097908973693848,14.0,0.24353502371632485
away_points_l5,364.0126647949219,7.192140102386475,12.0,0.24241969368236274
away_epa_per_play_l10,439.44085693359375,5.426572322845459,10.0,0.23927819664943897
home_success_rate_l5,417.6602783203125,5.013950347900391,12.0,0.23366013853270978
away_points_season,370.9364929199219,5.983983993530273,12.0,0.2301690813800233
home_success_rate_l3,390.92022705078125,5.641986846923828,11.0,0.2293450014003749
home_points_l5,437.307373046875,4.565866947174072,10.0,0.22826304328098102
home_points_season,351.1372375488281,6.717966556549072,7.0,0.2166059398403977
home_wins,340.4158935546875,6.304678916931152,9.0,0.2145603459918079
away_points_against_l10,341.2978820800781,4.922848224639893,11.0,0.20465337320349736
away_epa_per_play_season,263.9443664550781,7.498358726501465,9.0,0.20412110511346718
home_epa_per_play_season,387.40594482421875,5.162127494812012,5.0,0.20330224440208666
week,355.31011962890625,5.386050701141357,5.0,0.19559718720202762
away_points_l10,313.02301025390625,5.564270973205566,8.0,0.1936189284558551
home_epa_per_play_l10,207.43190002441406,7.315104007720947,6.0,0.17405241559266799
venue_avg_total,232.44149780273438,5.221837997436523,10.0,0.16980589075583646
home_losses,202.11880493164062,6.078887939453125,4.0,0.1511205083170452
home_over_rate_l10,8.429140090942383,4.1218461990356445,4.0,0.06493775959417046
