bin,bin_low,bin_high,count,pred_mean,obs_rate
"(0.1, 0.2]",0.1,0.2,3.0,0.15809449809449808,0.3333333333333333
"(0.2, 0.3]",0.2,0.3,23.0,0.2703680884350632,0.6086956521739131
"(0.3, 0.4]",0.3,0.4,98.0,0.36903908014186443,0.47959183673469385
"(0.4, 0.5]",0.4,0.5,4045.0,0.47090262479205364,0.48257107540173055
"(0.5, 0.6]",0.5,0.6,1192.0,0.5260952838839708,0.49580536912751677
"(0.6, 0.7]",0.6,0.7,113.0,0.6267451264192232,0.49557522123893805
"(0.7, 0.8]",0.7,0.8,36.0,0.7367669576468416,0.5555555555555556
"(0.8, 0.9]",0.8,0.9,14.0,0.8388436577942816,0.6428571428571429
"(0.9, 1.0]",0.9,1.0,5.0,0.9387242757675887,0.6
