feature,coefficient,odds_ratio
prior_games_diff,-0.07790251461351587,0.9250546014534415
plays_diff_prior,0.06760423297216028,1.069941776997361
season_point_diff_avg_diff,-0.060506726946049805,0.941287437007302
away_coach_total_games,-0.05134307821441763,0.9499527065417107
rest_diff,0.04934889465498262,1.0505868309347284
away_travel_change,0.04505664605344347,1.0460871149370385
home_prev_result,0.04216459052025293,1.043066143422391
prior_margin_avg_diff,-0.04133657751903258,0.959506127401293
home_coach_team_games,0.04118613345507159,1.0420460471265067
epa_diff_prior,0.040279247992103036,1.0411014590959395
prior_epa_mean_diff,0.040279247992103036,1.0411014590959395
home_coach_total_games,-0.03564769685294757,0.9649801991656959
away_coach_team_games,0.03481250176451973,1.0354255501343672
away_qb_team_games,-0.03370610081185524,0.9668556209667376
points_against_last3_diff,-0.027344363448295737,0.9730261091977417
points_for_last3_diff,-0.027006987663456217,0.973354440027323
qb_team_games_diff,0.026353255681293434,1.0267035732903018
away_qb_change,0.02303611139627008,1.0233034917979116
home_surface_artificial,0.022782000000393245,1.0230434917550912
season_win_pct_diff,-0.022636977402977147,0.977617316540369
home_surface_grass,-0.018747607374607893,0.9814270359322146
qb_total_games_diff,-0.014489391290882794,0.9856150747805495
away_coach_change,-0.013526357273203315,0.986564712819375
away_prev_result,0.013105428416758148,1.01319168092391
away_qb_total_games,0.011307735567373425,1.0113719096690228
home_travel_change,0.011032430731529815,1.011093512415268
coach_total_games_diff,0.010958811725604662,1.0110190794558604
epa_pp_last3_diff,0.010944455854719209,1.0110045655006736
qb_change_diff,-0.0100844116474575,0.989966265538751
home_qb_total_games,-0.009118114641238463,0.990923329306856
home_qb_change,0.00877532850955696,1.0088139445783615
win_pct_last5_diff,-0.006604259471439248,0.9934175007204737
coach_change_diff,0.005886788961491703,1.0059041501541373
home_coach_change,-0.004710974051256157,0.9953001051821779
coach_team_games_diff,0.004603057545866329,1.0046136678890116
home_qb_team_games,0.0032193724585931273,1.0032245602037073
home_roof_dome,-0.0028608606967512975,0.9971432276655375
home_roof_outdoors,0.0028608606967512975,1.002864956863971
