,glm,xgb,state,ens_mean_glm_xgb,ens_mean_glm_state,ens_mean_xgb_state,ens_mean_glm_xgb_state,ens_stack_glm_xgb,ens_stack_glm_state,ens_stack_xgb_state,ens_stack_glm_xgb_state
glm,1.0,0.9761671076318253,0.8907682769607761,0.9939194575870027,0.9694857414445591,0.9596087265155304,0.9815752243072496,0.9909626528097734,0.9905588896221244,0.9875852637013139,0.9905941306927961
xgb,0.9761671076318253,1.0,0.8853439119692335,0.994127480272489,0.9549058857557255,0.968479641064406,0.9797390674225582,0.975413551080335,0.9735465470213212,0.9744992936721257,0.97425191313349
state,0.8907682769607761,0.8853439119692335,1.0,0.8933710163853394,0.9749964259072768,0.9732499089233922,0.9548110543842564,0.8970969744805122,0.9006443603406802,0.901298798114379,0.8999319188266536
ens_mean_glm_xgb,0.9939194575870027,0.994127480272489,0.8933710163853394,1.0,0.9679164739273525,0.9698782993776685,0.9865444034022245,0.9890307285167453,0.9878821336107414,0.9868827551136998,0.9882575878562896
ens_mean_glm_state,0.9694857414445591,0.9549058857557255,0.9749964259072768,0.9679164739273525,1.0,0.9942282202188463,0.9950229347098619,0.9684805468138069,0.9701966776747886,0.9690956582504051,0.9698295982270881
ens_mean_xgb_state,0.9596087265155304,0.968479641064406,0.9732499089233922,0.9698782993776685,0.9942282202188463,1.0,0.9956851284191801,0.962626994473461,0.9636049461337466,0.9644263660864719,0.9635718086782818
ens_mean_glm_xgb_state,0.9815752243072496,0.9797390674225582,0.9548110543842564,0.9865444034022245,0.9950229347098619,0.9956851284191801,1.0,0.9806442726569539,0.9811752905359529,0.9807523569595342,0.9811644084652923
ens_stack_glm_xgb,0.9909626528097734,0.975413551080335,0.8970969744805122,0.9890307285167453,0.9684805468138069,0.962626994473461,0.9806442726569539,1.0,0.9975863701381577,0.9982799558025082,0.999203845027529
ens_stack_glm_state,0.9905588896221244,0.9735465470213212,0.9006443603406802,0.9878821336107414,0.9701966776747886,0.9636049461337466,0.9811752905359529,0.9975863701381577,1.0,0.9988118222412956,0.9993631947649461
ens_stack_xgb_state,0.9875852637013139,0.9744992936721257,0.901298798114379,0.9868827551136998,0.9690956582504051,0.9644263660864719,0.9807523569595342,0.9982799558025082,0.9988118222412956,1.0,0.9995837760834333
ens_stack_glm_xgb_state,0.9905941306927961,0.97425191313349,0.8999319188266536,0.9882575878562896,0.9698295982270881,0.9635718086782818,0.9811644084652923,0.999203845027529,0.9993631947649461,0.9995837760834333,1.0
