feature,importance
spread_close,41.68293380737305
venue_home_win_rate,10.360356330871582
venue_avg_margin,9.518250465393066
away_epa_home_avg,8.088865280151367
home_points_l10,7.860133647918701
epa_per_play_l5_diff,7.759879112243652
away_epa_per_play_season,7.498358726501465
home_epa_per_play_l10,7.315104007720947
away_points_l5,7.192140102386475
away_success_rate_l5,7.1894965171813965
away_points_against_season,7.062341213226318
epa_per_play_l10_diff,7.057886600494385
home_epa_away_avg,6.975074768066406
home_epa_per_play_l5,6.789270401000977
home_points_season,6.717966556549072
home_win_pct,6.676002025604248
away_pass_epa_l5,6.657273769378662
win_pct_diff,6.623907566070557
home_points_against_l3,6.50965690612793
home_success_rate_season,6.467705726623535
success_rate_l5_diff,6.461844444274902
away_epa_away_avg,6.428764343261719
away_success_rate_season,6.3643035888671875
home_wins,6.304678916931152
points_l3_diff,6.2740654945373535
success_rate_l3_diff,6.177380561828613
away_losses,6.166943550109863
away_points_against_l3,6.097908973693848
total_close,6.0822858810424805
home_losses,6.078887939453125
points_l5_diff,6.045313835144043
away_win_pct,6.03662109375
points_l10_diff,6.032289505004883
home_rush_epa_l5,6.018106937408447
home_points_against_l10,6.0169878005981445
away_points_season,5.983983993530273
away_success_rate_l3,5.97227668762207
away_epa_per_play_l5,5.946581840515137
home_points_against_season,5.900405406951904
home_epa_home_avg,5.8316168785095215
pass_epa_l5_diff,5.76285982131958
home_pass_epa_l5,5.742197036743164
epa_per_play_l3_diff,5.69132137298584
home_points_against_l5,5.669470310211182
home_success_rate_l3,5.641986846923828
away_points_l10,5.564270973205566
away_points_against_l5,5.551562786102295
away_epa_per_play_l10,5.426572322845459
week,5.386050701141357
away_points_l3,5.294514179229736
home_points_l3,5.282762050628662
venue_avg_total,5.221837997436523
home_epa_per_play_season,5.162127494812012
away_wins,5.018725395202637
home_success_rate_l5,5.013950347900391
away_points_against_l10,4.922848224639893
away_rush_epa_l5,4.822065353393555
home_points_l5,4.565866947174072
home_over_rate_l10,4.1218461990356445
